name,address,city,lattitude,longitude
Norwich,,"Norwich, VT ",43.754758,-72.324266
Dartmouth,,"Hanover, NH",43.703757,-72.288889
American,,,38.88953,-77.009305
Iraq,,,33.314863,44.384307
Afghanistan,,,34.538682,69.244385
Kuwait,,,29.374793,47.98015
Vietnam,,,21.018786,105.833333
Vietnamese,,,21.018786,105.833333
United States of America,,,38.88953,-77.009305
Vietnamese,,,21.018786,105.833333
Vietnamese,,,21.018786,105.833333
Vietnam,,,21.018786,105.833333
American,,,38.88953,-77.009305
U.S.,,,38.88953,-77.009305
Parkhurst,14 N Main St,"Hanover, NH",43.703987,-72.289967
Vietnam,,,21.018786,105.833333
